pref_code,pref_name,station_code,station_name,station_yomi,station_note,station_lat,station_lon
8,"茨城県",21579,"赤塚","あかつか","",36.381885,140.415232
8,"茨城県",21580,"阿字ケ浦","あじがうら","",36.383388,140.612382
8,"茨城県",21582,"荒川沖","あらかわおき","",36.030696,140.166186
8,"茨城県",21583,"石岡","いしおか","",36.190931,140.280252
8,"茨城県",21585,"石下","いしげ","",36.116934,139.974336
8,"茨城県",21586,"磯崎","いそざき","",36.377722,140.618020
8,"茨城県",21587,"磯原","いそはら","",36.790430,140.746046
8,"茨城県",21588,"潮来","いたこ","",35.936963,140.549519
8,"茨城県",21589,"稲田","いなだ","",36.368550,140.214304
8,"茨城県",21590,"稲戸井","いなとい","",35.926094,140.022647
8,"茨城県",21591,"入地","いれじ","",35.918958,140.157219
8,"茨城県",21592,"岩瀬","いわせ","",36.359605,140.108259
8,"茨城県",21593,"岩間","いわま","",36.295448,140.276581
8,"茨城県",21594,"牛久","うしく","",35.975618,140.140968
8,"茨城県",21595,"内原","うちはら","",36.370552,140.353265
8,"茨城県",21596,"瓜連","うりづら","",36.498095,140.449779
8,"茨城県",21598,"大洗","おおあらい","",36.315200,140.562529
8,"茨城県",21599,"大田郷","おおたごう","",36.278194,139.959719
8,"茨城県",21600,"大津港","おおつこう","",36.846509,140.778236
8,"茨城県",21603,"大甕","おおみか","",36.513153,140.619459
8,"茨城県",21605,"小木津","おぎつ","",36.636779,140.675199
8,"茨城県",21607,"小田林","おたばやし","",36.300745,139.853838
8,"茨城県",21608,"折本","おりもと","",36.340632,139.971159
8,"茨城県",29275,"偕楽園","かいらくえん","",36.373165,140.456146
8,"茨城県",21609,"笠間","かさま","",36.373300,140.246052
8,"茨城県",21610,"鹿島旭","かしまあさひ","",36.224542,140.512509
8,"茨城県",21611,"鹿島大野","かしまおおの","",36.050674,140.609953
8,"茨城県",21612,"鹿島サッカースタジアム","かしまさっかーすたじあむ","",35.992180,140.636343
8,"茨城県",21613,"鹿島神宮","かしまじんぐう","",35.970654,140.625955
8,"茨城県",21614,"鹿島灘","かしまなだ","",36.075587,140.597008
8,"茨城県",21615,"勝田","かつた","",36.394496,140.524334
8,"茨城県",21616,"金上","かねあげ","",36.382526,140.533917
8,"茨城県",21617,"上小川","かみおがわ","",36.719265,140.378608
8,"茨城県",21618,"上菅谷","かみすがや","",36.455295,140.492555
8,"茨城県",21620,"河合","かわい","",36.508290,140.517079
8,"茨城県",21621,"川島","かわしま","",36.295858,139.915416
8,"茨城県",21625,"神立","かんだつ","",36.120549,140.248814
8,"茨城県",21626,"北浦湖畔","きたうらこはん","",36.120332,140.536872
8,"茨城県",21627,"北水海道","きたみつかいどう","",36.032165,139.992838
8,"茨城県",21629,"黒子","くろご","",36.247198,139.975052
8,"茨城県",29409,"研究学園","けんきゅうがくえん","",36.082078,140.082579
8,"茨城県",21630,"荒野台","こうやだい","",36.016678,140.625370
8,"茨城県",21631,"古河","こが","",36.194393,139.709771
8,"茨城県",21632,"小絹","こきぬ","",35.981115,139.983287
8,"茨城県",21633,"後台","ごだい","",36.423771,140.489918
8,"茨城県",21634,"西金","さいがね","",36.695351,140.386692
